Sample,NES
TCGA.27.1833.01,0.633906332
TCGA.06.0881.01,0.921676901
TCGA.27.1831.01,0.729002182
TCGA.06.0238.01,0.626234969
TCGA.06.0125.01,0.830147242
TCGA.06.0216.01,0.756068203
TCGA.08.0245.01,0.601658385
TCGA.08.0373.01,0.90835544
TCGA.28.5213.01,0.784530077
TCGA.28.1760.01,0.893564984
TCGA.14.0812.01,0.821542318
TCGA.76.4932.01,0.582056908
TCGA.06.5412.01,0.909469535
TCGA.15.1446.01,0.748237719
TCGA.16.1045.01,0.76909331
TCGA.06.0141.01,0.844787978
TCGA.12.0657.01,0.856874478
TCGA.19.5960.01,0.605591375
TCGA.28.1753.01,0.799941554
TCGA.02.0038.01,0.491975461
TCGA.06.0168.01,0.819423281
TCGA.12.0821.01,0.708103793
TCGA.32.1986.01,0.921134679
TCGA.06.2567.01,0.764707706
TCGA.27.2526.01,0.814000278
TCGA.19.1389.01,0.915955276
TCGA.19.5951.01,0.845319026
TCGA.06.0195.01,0.459038333
TCGA.12.5295.01,0.744641304
TCGA.12.3650.01,0.573481398
TCGA.28.5220.01,0.752853491
TCGA.32.2494.01,0.901326133
TCGA.12.1602.01,0.888486284
TCGA.02.0115.01,0.835616373
TCGA.12.3653.01,0.522173822
TCGA.08.0353.01,0.749494606
TCGA.06.5856.01,0.788496846
TCGA.06.0188.01,0.652418459
TCGA.06.0174.01,0.731301373
TCGA.12.0688.01,0.800351559
TCGA.14.1794.01,0.871115258
TCGA.27.1838.01,0.845828673
TCGA.76.4926.01,0.929948789
TCGA.32.1970.01,0.607565762
TCGA.14.0789.01,0.903860132
TCGA.26.5133.01,0.571158917
TCGA.06.0206.01,0.915689772
TCGA.19.2631.01,0.852580294
TCGA.19.1790.01,1
TCGA.06.1084.01,0.821873991
TCGA.19.2621.01,0.637152878
TCGA.12.0707.01,0.867887085
TCGA.08.0349.01,0.76008329
TCGA.06.0138.01,0.745664068
TCGA.28.5208.01,0.7531314
TCGA.06.0171.01,0.622644766
TCGA.32.4719.01,0.826926506
TCGA.28.1757.01,0.886759065
TCGA.06.2562.01,0.891688011
TCGA.32.4211.01,0.92846148
TCGA.12.5299.01,0.911199724
TCGA.19.1386.01,0.638045671
TCGA.19.1786.01,0.728585044
TCGA.32.2638.01,0.832169987
TCGA.27.2527.01,0.824926516
TCGA.06.5408.01,0.850220805
TCGA.76.6285.01,0.777559342
TCGA.08.0357.01,0.800001018
TCGA.08.0386.01,0.736572841
TCGA.28.1749.01,0.739726914
TCGA.27.1836.01,0.577189174
TCGA.02.0025.01,0.92928496
TCGA.26.5132.01,0.913627562
TCGA.12.0692.01,0.788389005
TCGA.06.0876.01,0.813112009
TCGA.08.0359.01,0.816915045
TCGA.08.0389.01,0.609188938
TCGA.06.0241.01,0.628763784
TCGA.06.5410.01,0.964747781
TCGA.19.5958.01,0.683004973
TCGA.19.2625.01,0.847135855
TCGA.06.2565.01,0.677999117
TCGA.02.2485.01,0.766040005
TCGA.06.0213.01,0.818580076
TCGA.12.1599.01,0.852699591
TCGA.06.0750.01,0.809283808
TCGA.02.0015.01,0.917059418
TCGA.12.0656.01,0.802879794
TCGA.12.1597.01,0.606753333
TCGA.06.5418.01,0.942920215
TCGA.02.0011.01,0.129239952
TCGA.08.0345.01,0.857274255
TCGA.06.0132.01,0.667484958
TCGA.28.1747.01,0.657812255
TCGA.12.0616.01,0.742491593
TCGA.06.5415.01,0.758621976
TCGA.06.0157.01,0.71134671
TCGA.12.0620.01,0.841292765
TCGA.06.2561.01,0.773235954
TCGA.14.2554.01,0.813072919
TCGA.02.0084.01,0.75010403
TCGA.06.2563.01,0.622565873
TCGA.14.1453.01,0.72782634
TCGA.06.0127.01,0.759090524
TCGA.06.0173.01,0.863859962
TCGA.06.0219.01,0.712507272
TCGA.28.5219.01,0.851599349
TCGA.02.0114.01,0.665055128
TCGA.14.3476.01,0.663511368
TCGA.06.0145.01,0.752628204
TCGA.76.4934.01,0.661781012
TCGA.32.5222.01,0.760216065
TCGA.32.4209.01,0.91955531
TCGA.76.6191.01,0.747671971
TCGA.02.0021.01,0.621685586
TCGA.14.0787.01,0.734075995
TCGA.02.0057.01,0.811394534
TCGA.12.0618.01,0.711926385
TCGA.26.1799.01,0.741733495
TCGA.14.1827.01,0.646192387
TCGA.27.2524.01,0.927998083
TCGA.19.1791.01,0.386102393
TCGA.28.5215.01,0.93554439
TCGA.06.0875.01,0.582583269
TCGA.06.0877.01,0.886966083
TCGA.32.4213.01,0.846219966
TCGA.06.0155.01,0.89616186
TCGA.19.2620.01,0.808453601
TCGA.28.2502.01,0.90282209
TCGA.41.4097.01,0.864013821
TCGA.02.0001.01,0.932943706
TCGA.02.2466.01,0.640306084
TCGA.02.0116.01,0.872470705
TCGA.14.1037.01,0.907841299
TCGA.15.0742.01,0.774729588
TCGA.27.2528.01,0.75449131
TCGA.19.5950.01,0.842694004
TCGA.02.0043.01,0.859563305
TCGA.32.4210.01,0.608453493
TCGA.06.0187.01,0.869203627
TCGA.02.2486.01,0.876925267
TCGA.16.0846.01,0.623784475
TCGA.32.1980.01,0.809838321
TCGA.26.5134.01,0.663773795
TCGA.06.0169.01,0.894257808
TCGA.06.0649.01,0.800227039
TCGA.28.5209.01,0.832334909
TCGA.76.4929.01,0.846226188
TCGA.06.0137.01,0.877140838
TCGA.28.2506.01,0.457312073
TCGA.14.0867.01,0.869621433
TCGA.06.0744.01,0.754615493
TCGA.02.0024.01,0.844550088
TCGA.02.0054.01,0.725460033
TCGA.08.0358.01,0.590334243
TCGA.32.2632.01,0.773993764
TCGA.08.0360.01,0.911145477
TCGA.14.1455.01,0.630481499
TCGA.19.5955.01,0.888973761
TCGA.06.0645.01,0.880892291
TCGA.02.0086.01,0.88078297
TCGA.02.0033.01,0.729181405
TCGA.27.2518.01,0.688848786
TCGA.02.0075.01,0.908049449
TCGA.12.0775.01,0.923648345
TCGA.02.0083.01,0.818075072
TCGA.19.2624.01,0.565005421
TCGA.02.0074.01,0.744451662
TCGA.08.0351.01,0.664270258
TCGA.12.1089.01,0.600331736
TCGA.06.5858.01,0.873887162
TCGA.28.1746.01,0.568788612
TCGA.12.0822.01,0.7827816
TCGA.06.2564.01,0.759935152
TCGA.08.0347.01,0.8490985
TCGA.08.0355.01,0.792067248
TCGA.41.2571.01,0.721739719
TCGA.02.0070.01,0.903684492
TCGA.02.0113.01,0.756549078
TCGA.02.0069.01,0.443075891
TCGA.76.6193.01,0.975832665
TCGA.02.0009.01,0.832453443
TCGA.06.0148.01,0.917113549
TCGA.12.0773.01,0.841288384
TCGA.41.2575.01,0.530013451
TCGA.06.0133.01,0.556478207
TCGA.27.1832.01,0.915284821
TCGA.02.0079.01,0.956054906
TCGA.28.5218.01,0.928815075
TCGA.14.0786.01,0.75556029
TCGA.06.1800.01,0.910327054
TCGA.76.4935.01,0.840613055
TCGA.14.1795.01,0.851778326
TCGA.06.5414.01,0.851300454
TCGA.06.5411.01,0.633346615
TCGA.06.0211.01,0.771133858
TCGA.12.0826.01,0.707609913
TCGA.14.1829.01,0.763689287
TCGA.06.0122.01,0.910039161
TCGA.12.0828.01,0.75849193
TCGA.08.0246.01,0.963409098
TCGA.06.0126.01,0.632879147
TCGA.08.0348.01,0.757528038
TCGA.26.5139.01,0.901075657
TCGA.81.5910.01,0.828159914
TCGA.41.3393.01,0.859641487
TCGA.28.5214.01,0.765098925
TCGA.32.2615.01,0.85714482
TCGA.27.1834.01,0.800314869
TCGA.06.0154.01,0.894287296
TCGA.06.0178.01,0.651648279
TCGA.06.0190.01,0.899087036
TCGA.06.0158.01,0.792921328
TCGA.06.0208.01,0.65984561
TCGA.06.6391.01,0.649740687
TCGA.12.1600.01,0.662155112
TCGA.14.0817.01,0.74999414
TCGA.02.0052.01,0.827185524
TCGA.19.2619.01,0.774735253
TCGA.12.1088.01,0.864574759
TCGA.02.0107.01,0.894116273
TCGA.06.0648.01,0.789442513
TCGA.28.5204.01,0.608058434
TCGA.06.0745.01,0.779017735
TCGA.06.1804.01,0.681452748
TCGA.26.1439.01,0.776896164
TCGA.06.0201.01,0.924532658
TCGA.76.4931.01,0.922048773
TCGA.12.0819.01,0.641292123
TCGA.14.1823.01,0.840302836
TCGA.28.6450.01,0.805615055
TCGA.02.0007.01,0.576807437
TCGA.19.1390.01,0.363944001
TCGA.06.0156.01,0.817798468
TCGA.06.0237.01,0.556887047
TCGA.19.1385.01,0.900206698
TCGA.76.4928.01,0.908259078
TCGA.06.0686.01,0.719075255
TCGA.19.2623.01,0.877053926
TCGA.06.0192.01,0.926113221
TCGA.06.2558.01,0.684303834
TCGA.28.1750.01,0.913562168
TCGA.06.0644.01,0.949503651
TCGA.06.0185.01,0.788503312
TCGA.12.3646.01,0.646172475
TCGA.76.6282.01,0.927565421
TCGA.02.2470.01,0.877260682
TCGA.19.5954.01,0.879245243
TCGA.06.0743.01,0.718951087
TCGA.06.0214.01,0.728160825
TCGA.02.0003.01,0.869302468
TCGA.32.1979.01,0.843997111
TCGA.87.5896.01,0.793083381
TCGA.06.1087.01,0.68031479
TCGA.41.2573.01,0.620886199
TCGA.08.0350.01,0.729797057
TCGA.06.0166.01,0.798616018
TCGA.06.0189.01,0.876603116
TCGA.06.2569.01,0.357093426
TCGA.19.0957.01,0.794071371
TCGA.14.0865.01,0.459278688
TCGA.08.0354.01,0.894428855
TCGA.76.4925.01,0.349956284
TCGA.14.1396.01,0.921379239
TCGA.12.0778.01,0.911596803
TCGA.28.1752.01,0.818385799
TCGA.12.3649.01,0.697731622
TCGA.14.0790.01,0.595567047
TCGA.28.2514.01,0.69835964
TCGA.02.0085.01,0.861982084
TCGA.06.5859.01,0.639462939
TCGA.12.1093.01,0.917421995
TCGA.02.0046.01,0.815053231
TCGA.06.0879.01,0.874680559
TCGA.14.0871.01,0.631503065
TCGA.08.0244.01,0.808370918
TCGA.41.5651.01,0.578358723
TCGA.76.6192.01,0.832049978
TCGA.12.0619.01,0.871452282
TCGA.02.0016.01,0.496302007
TCGA.02.0071.01,0.886398998
TCGA.32.1977.01,0.881802663
TCGA.32.1991.01,0.887178496
TCGA.06.0147.01,0.932171053
TCGA.06.0176.01,0.947500858
TCGA.06.0210.01,0.899627655
TCGA.32.1982.01,0.743208544
TCGA.26.5135.01,0.845710943
TCGA.02.0099.01,0.85717926
TCGA.28.5216.01,0.836507761
TCGA.08.0390.01,0.892709482
TCGA.19.1789.01,0.561553764
