"geneName","corPvalue","corRho","label","col","degPvalue","deglog2FC"
"UPP1",0.000536249245564431,0.570359052711994,"UPP1","red",0.00499980606302673,1.01261285013299
"GPX4",0.000786449409738317,0.555691367456073,"GPX4","black",0.151496136852664,0.238826270903449
"CAPN2",0.000998434075879726,0.546218487394958,"CAPN2","red",0.00252022866838143,0.849198821461751
"FOSL1",0.00136547745633007,0.533384262796027,"FOSL1","red",0.000215571177483376,1.02819319129434
"POU2F2",0.00139574496977109,0.532467532467532,"POU2F2","black",0.0237855770217165,0.14760066347325
"AGPAT2",0.00165993353556557,0.525133689839572,"AGPAT2","black",0.00473882540282707,0.36617211663568
"DPP4",0.00167183609284784,0.524828113063407,"DPP4","red",0.00773572273038929,0.572744530969651
"TMEM111",0.00176978877952053,0.522383498854087,"TMEM111","black",0.0454946934023661,0.229148585517006
"MREG",0.00218348260653385,0.513216195569137,"MREG","red",0.016687502067649,0.505765486843511
"GUSB",0.00237132075217694,0.509549274255157,"GUSB","black",0.0242869750559926,0.497693745056367
"CXCL14",0.00250427105048088,0.507104660045837,"CXCL14","black",0.0726069173628371,0.955612686893099
"COL13A1",0.00302235655674178,0.498548510313216,"COL13A1","black",0.0221641990991647,0.2444404097152
"PSORS1C1",0.00329313777659246,0.494576012223071,"PSORS1C1","black",0.0226732612149783,0.175189654511585
"GRB10",0.00344752234044851,0.492436974789916,"GRB10","black",0.116055195540823,0.49018617743493
"GADD45A",0.0037997275337412,0.487853323147441,"GADD45A","red",0.0173477209200939,0.696611348469791
"SAA4",0.00384897577233224,0.487242169595111,"SAA4","black",0.122449625997404,0.24071508693915
"MMP19",0.00407752864631844,0.484491978609626,"MMP19","black",0.00732723340947117,0.44225392663681
"CAV3",0.00420952954881424,0.482964094728801,"CAV3","black",0.88826991917112,0.132108885304815
"MT1G",0.00431778803897253,0.481741787624141,"MT1G","black",0.0951789048779824,0.855511440721312
"TNFRSF12A",0.0045702482971918,0.478991596638655,"TNFRSF12A","red",0.0140018699278234,0.815594813726701
"ANG",0.00486569006962581,0.475935828877005,"ANG","red",0.0283913244357952,0.848634503549411
"CAV1",0.00527441587830141,0.47196333078686,"CAV1","black",0.0979601942583765,0.889397552786596
"PTPN14",0.00533986336834331,0.47135217723453,"PTPN14","black",0.00109888320915417,0.312155989803486
"FAM26B",0.00537284986665621,0.471046600458365,"FAM26B","black",0.017609198918506,0.488917492012195
"ITPR3",0.00540601256359016,0.4707410236822,"ITPR3","black",0.00958857757158295,0.197497586855095
"NDUFC1",0.00564315045944249,0.468601986249045,"NDUFC1","black",0.00971598639311187,0.340649405468584
"FER1L3",0.0057475023060353,0.46768525592055,"FER1L3","red",0.0107266114100173,1.05747858241108
"CCR3",0.00588923002690304,0.46646294881589,"CCR3","black",0.142803622478503,0.10564441694244
"HEBP1",0.00652578538606341,0.461268143621085,"HEBP1","red",0.00896146034847251,0.551058566910015
