"geneName","corPvalue","corRho","col4oneGene","label4oneGene","col","label","corRho4l2","corPvalue4l2","corSq","label4corSq","col4corSq","corRho4migr","corPvalue4migr","corSq2","col4corSq2","label4corSq2","corSq3","col4corSq3","label4corSq3"
"MT1G",0.00161373357143275,0.520177407516337,"grey90",NA,"red","MT1G",0.481741787624141,0.00431778803897253,0.50265968523372,"MT1G","red",0.449690581188646,0.00762440217990761,0.434296768753085,"red","MT1G",0.4728061541002,"red","MT1G"
"TMEM111",0.00334450219127213,0.488920110383069,"grey90",NA,"red","TMEM111",0.522383498854087,0.00176978877952053,0.51192739421203,"TMEM111","red",0.387042555946599,0.0237369987916799,0.422686459988714,"red","TMEM111",0.388844814450669,"red","TMEM111"
"CAPN2",0.0132792939022443,0.420496176359993,"grey90",NA,"grey90","CAPN2",0.546218487394958,0.000998434075879726,0.47517167030541,"CAPN2","red",0.494919399412173,0.00292320006215149,0.543299847886542,"red","CAPN2",0.42176224624788,"red","CAPN2"
"TAF9",0.0144891595493268,0.415675399190185,"grey90",NA,"grey90","TAF9",0.433460656990069,0.0110387260998164,0.360674178650182,NA,"grey90",0.452746582419965,0.00717431273677595,0.39286760905122,"red","TAF9",0.377765505384878,"red","TAF9"
"VDAC2",0.0162302207528456,0.409299532610762,"grey90",NA,"grey90","VDAC2",0.377540106951872,0.0284174033870241,0.310062639752619,NA,"grey90",0.481931394179065,0.00390075177964854,0.374794401052608,"red","VDAC2",0.399783976090766,"red","VDAC2"
"GLRX2",0.051308313872245,0.336987875063648,"grey90",NA,"grey90",NA,0.455156608097785,0.0073498622847395,0.320728365834994,NA,"grey90",0.542745818682321,0.000911888240348138,0.501740561592223,"red","GLRX2",0.408133851637056,"red","GLRX2"
"UBE2Q1",0.00666367554297316,0.456418741722108,"grey90",NA,"grey90","UBE2Q1",0.257448433919022,0.141321208849194,0.274597763922549,NA,"grey90",0.444189778972271,0.00849538963814906,0.263584255870792,"grey90",NA,0.405622627538627,"red","UBE2Q1"
"RGS17",0.00832576920854736,0.445222097972877,"grey90",NA,"grey90","RGS17",0.433766233766234,0.0109774577658534,0.386375862079113,NA,"grey90",0.397127360009953,0.0200413890650816,0.345863285624218,"grey90",NA,0.355932856591845,"red","RGS17"
"SRP19",0.0261442046247546,0.381152414296724,"grey90",NA,"grey90","SRP19",0.319786096256684,0.0656933647074412,0.247540310283311,NA,"grey90",0.483764994917857,0.00374758435813259,0.336291717666963,"grey90",NA,0.379305733232096,"red","SRP19"
"C11orf24",0.028543760010706,0.375709601363071,"grey90",NA,"grey90","C11orf24",0.257142857142857,0.141806665265913,0.207280153535989,NA,"grey90",0.49048819762676,0.00322959754777725,0.306701120990739,"grey90",NA,0.381736376567545,"red","C11orf24"
"DAP3",0.0456388014647529,0.345074339993648,"grey90",NA,"grey90","DAP3",0.293506493506493,0.0922454558578687,0.205222361852529,NA,"grey90",0.505004203475527,0.00231834156328381,0.341175307258428,"grey90",NA,0.374105545650003,"red","DAP3"
"MREG",0.00259627157947552,0.500116754132299,"grey90",NA,"red","MREG",0.513216195569137,0.00218348260653385,0.513507631158285,"MREG","red",0.315684927195291,0.0689547728726027,0.363047836652755,"red","MREG",0.349773741022123,"grey90",NA
"FOSL1",0.00590723467939669,0.462328081478646,"grey90",NA,"grey90","FOSL1",0.533384262796027,0.00136547745633007,0.498246026722187,"FOSL1","red",0.299640920730865,0.0851331073765788,0.374283453174902,"red","FOSL1",0.303531936300166,"grey90",NA
"UPP1",0.00696252283209132,0.454241616548646,"grey90","UPP1","grey90","UPP1",0.570359052711994,0.000536249245564431,0.53164489521525,"UPP1","red",0.316448927503121,0.0682491207329875,0.425449372728399,"red","UPP1",0.306475369922603,"grey90",NA
"RRAGC",0.0541076548930249,0.333255660480571,"grey90",NA,"grey90",NA,0.361344537815126,0.0364301242464098,0.241629210251169,NA,"grey90",0.477500192393652,0.00429342430422216,0.358576308744802,"red","RRAGC",0.339065768978316,"grey90",NA
