geneName,corPvalue,corRho,degPvalue,deglog2FC,label,col,col4oneGene,In previous migr set?,label4oneGene,GOBP_CEREBRAL_CORTEX_RADIALLY_ORIENTED_CELL_MIGRATION,GOBP_REGULATION_OF_FIBROBLAST_MIGRATION,WP_NEURAL_CREST_CELL_MIGRATION_IN_CANCER,GOBP_POSITIVE_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION,GOBP_POSITIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,WU_CELL_MIGRATION,GOBP_POSITIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,GOBP_NEGATIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,HP_ABNORMALITY_OF_NEURONAL_MIGRATION,GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION_INVOLVED_IN_GASTRULATION,p.adj
JHDM1D,0.000171045,-0.600962642,0.374657779,-0.293600134,JHDM1D,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
DUSP12,0.000447091,0.568874629,0.760190476,0.180359459,DUSP12,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
EVI1,0.000647227,-0.555581024,0.830728459,-0.007292656,EVI1,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
ETFDH,0.000769563,0.549163421,0.09984179,0.157611713,ETFDH,red,grey90,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,1
SKIL,0.000872533,-0.544426619,0.114826333,-0.093767292,SKIL,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
C11orf24,0.001007205,0.538925817,0.328507871,0.257200235,C11orf24,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
VEGFB,0.001550401,0.52181221,0.127855094,0.213878183,VEGFB,red,grey90,1,NA,0,0,0,0,0,0,0,0,0,0,1,0,1
DNAL4,0.001766064,0.516464208,0.567003625,0.088021992,DNAL4,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
TRAP1,0.001964191,0.512033006,0.48932146,0.098545663,TRAP1,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
PLEKHA5,0.001971356,-0.511880206,0.262597766,-0.172111814,PLEKHA5,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
TTC4,0.002022153,0.510810606,0.133666944,0.241967583,TTC4,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
SLAMF7,0.002042381,-0.510391198,0.61851404,-0.201420542,SLAMF7,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
COX4NB,0.002081603,0.509588205,0.162697068,0.363476847,COX4NB,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
SMARCE1,0.002094774,-0.509321516,0.034869221,-0.160722887,SMARCE1,blue,grey90,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,1
NUBP1,0.002203088,0.507182152,0.030670554,0.369729291,NUBP1,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
MAGED2,0.002419411,-0.503170603,0.209890925,-0.233633647,MAGED2,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
SAP30L,0.002614703,0.499809001,0.044926347,0.432483962,SAP30L,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
ATG4B,0.002705556,0.498319071,0.424571476,0.060650432,ATG4B,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
KCNA2,0.003153198,0.491557798,0.193348118,0.012941453,KCNA2,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
COPG,0.003897624,-0.481968215,0.904428884,-0.335774782,COPG,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
POU3F1,0.004032495,0.480403394,0.690810336,-0.006826158,POU3F1,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
MRPS17,0.004099796,0.479639393,0.800508273,0.485319793,MRPS17,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
PIAS2,0.004113372,0.479486593,0.25797095,0.074924468,PIAS2,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
DNAJA3,0.004140641,0.479180993,0.336221385,-0.026765212,DNAJA3,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
TBC1D4,0.004168065,-0.478875393,0.292261431,-0.07578233,TBC1D4,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
CAPN2,0.00425859,0.477878812,0.002520229,0.849198821,CAPN2,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
GTF3C2,0.004407573,0.476277792,0.336920606,0.101806779,GTF3C2,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
KRT13,0.004524329,-0.475055391,0.289477444,-0.040362699,KRT13,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
MPI,0.004613637,0.474138591,0.40013254,0.1498552,MPI,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
DLX5,0.004859256,-0.47169379,0.077284251,-0.532598449,DLX5,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
KCNIP1,0.005099665,0.469401789,0.639148988,0.305490183,KCNIP1,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
C20orf195,0.005194759,-0.468520782,0.360959412,0.005678576,C20orf195,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
CLIC5,0.005198655,-0.468484989,0.433232587,-0.176662407,CLIC5,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
CISD1,0.005265562,0.467873789,0.693749177,0.30675461,CISD1,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
ADORA1,0.005470743,0.466040188,0.812996376,0.345609887,ADORA1,red,grey90,1,NA,0,0,0,0,0,0,0,0,0,0,1,0,1
EDN1,0.005523099,-0.465581788,0.909140214,-0.561891237,EDN1,blue,grey90,2,NA,0,0,0,0,0,0,0,0,0,1,1,0,1
UTX,0.005611314,-0.464817787,0.90004237,-0.123690367,UTX,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
TMEM123,0.005920356,-0.462220186,0.570528501,-0.219953885,TMEM123,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
CYP2C8,0.005972053,0.461797066,0.0379412,0.06907224,CYP2C8,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
FZD8,0.005995157,0.461608986,0.307352935,0.129030453,FZD8,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
CLIC3,0.005995157,-0.461608986,0.831291276,-0.04947725,CLIC3,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
GPR126,0.006089796,-0.460844986,0.639254283,-0.254984085,GPR126,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
OR7A17,0.006401297,0.458400185,0.182561833,-0.016097157,OR7A17,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
SLC26A10,0.006562098,-0.457177784,0.161588573,-0.023267051,SLC26A10,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
JARID1B,0.006577785,-0.457059902,0.040872869,-0.307650688,JARID1B,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
AGGF1,0.006623283,0.456719384,0.410630421,0.036271957,AGGF1,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
MT1G,0.006788835,0.455496984,0.095178905,0.855511441,MT1G,red,grey90,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,1
SVEP1,0.006979299,-0.454121783,0.208637152,-0.141301934,SVEP1,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
IARS2,0.007306892,0.451829782,0.126445203,0.332526731,IARS2,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
SCAMP3,0.007418967,0.451065782,0.667660534,0.245475736,SCAMP3,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
CHPT1,0.007481792,0.450641809,0.06035688,0.371094624,CHPT1,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
MSX2,0.007647525,-0.449537781,0.481576501,-0.00148583,MSX2,blue,grey90,1,NA,0,0,0,0,0,0,0,0,0,0,1,0,1
KCNA4,0.007787522,-0.448620981,0.080060136,-0.080219206,KCNA4,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
SLC27A6,0.007787522,0.448620981,0.035623116,0.07131972,SLC27A6,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
HIST1H4H,0.007929699,0.44770418,0.172519517,0.114025682,HIST1H4H,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
RGS6,0.008147109,0.44632898,0.065005247,0.155142925,RGS6,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
PRR7,0.008171576,0.44617618,0.422936506,0.093495054,PRR7,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
ITGB7,0.008245354,-0.44571778,0.826848376,-0.045167614,ITGB7,blue,grey90,2,NA,0,0,0,0,0,0,0,0,0,1,1,0,1
PANX1,0.008289329,0.44544621,0.732202381,0.069891981,PANX1,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
NDUFA10,0.008383467,0.444868955,0.625849501,0.024086679,NDUFA10,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
DGCR14,0.00849539,0.444189779,0.292443102,0.025406217,DGCR14,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
MFAP4,0.008597195,-0.443578579,0.798831075,0.185883672,MFAP4,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
GPR68,0.008785114,0.442466381,0.171484552,0.146059844,GPR68,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
BRAF,0.008988263,-0.441286578,0.953679182,-0.137864427,BRAF,blue,grey90,2,NA,0,1,0,0,0,0,0,0,0,1,0,0,1
CBX4,0.009035644,0.44101467,0.982190469,-0.180317123,CBX4,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
SOCS6,0.009339318,0.439300177,0.693242983,0.136204915,SOCS6,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
JAK3,0.009499125,0.43841687,0.152386416,0.058132013,JAK3,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
PHACTR2,0.009781071,-0.436888753,0.686382721,0.132787469,PHACTR2,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
EIF2B1,0.00998263,0.435819071,0.600235011,-0.026433808,EIF2B1,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
CRABP1,0.010047217,-0.435480175,0.232425713,-0.281072083,CRABP1,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
MGAM,0.010253392,-0.434410575,0.984081569,-0.143083787,MGAM,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
TYRO3,0.010402844,0.433646575,0.544911787,0.013739689,TYRO3,red,grey90,1,NA,0,0,0,0,0,0,0,0,0,0,1,0,1
TGFBRAP1,0.01054755,0.432915648,0.547021316,0.01781149,TGFBRAP1,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
PI4KB,0.010676509,0.432271374,0.687100392,-0.048101333,PI4KB,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
INTS12,0.010855591,0.431387531,0.267254026,0.126035904,INTS12,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
ZNF232,0.010855591,0.431387531,0.48703619,-0.203701199,ZNF232,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
LHX2,0.010924858,0.431048974,0.770449289,0.213545796,LHX2,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
CX3CL1,0.010987703,0.430743374,0.254533573,0.055367994,CX3CL1,red,grey90,1,NA,0,0,0,0,0,0,0,0,0,0,1,0,1
CALCOCO1,0.011114311,-0.430132173,0.299458049,-0.391167697,CALCOCO1,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
KCNJ1,0.011139302,0.430012225,0.153603186,0.066660946,KCNJ1,red,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
CHD1L,0.011210074,0.429673773,0.763656137,-0.176887372,CHD1L,grey90,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
PSORS1C1,0.011567194,0.427992972,0.022673261,0.175189655,PSORS1C1,grey90,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
POLR3G,0.011633147,0.427687372,0.242792875,0.064713797,POLR3G,grey90,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
B4GALT3,0.011832913,0.426770572,0.834135703,0.139052016,B4GALT3,grey90,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
FAHD2A,0.011900141,0.426464972,0.177357868,0.45207363,FAHD2A,grey90,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
SNFT,0.012001588,0.426006572,0.071525242,0.739524424,SNFT,grey90,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
PSMB3,0.012035566,-0.425853772,0.476299347,-0.129319984,PSMB3,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
HPGD,0.012172288,-0.425242571,0.511220185,-0.090795729,HPGD,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
NUDT9,0.012268343,0.424816626,0.168287577,0.169845494,NUDT9,grey90,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
UBE2Q1,0.012382464,0.424314206,0.417393128,0.069861095,UBE2Q1,grey90,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
DNAJB14,0.012590341,-0.423408971,0.838148197,0.225168948,DNAJB14,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
RP6-213H19.1,0.012661179,-0.42310337,0.644735933,-0.127394835,RP6-213H19.1,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
IGLV2-14,0.012742652,-0.422753667,0.679141812,-0.069520032,IGLV2-14,blue,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
PPP2R2B,0.012803863,0.42249217,0.377400512,0.229456421,PPP2R2B,grey90,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
NDUFC1,0.012875711,0.42218657,0.009715986,0.340649405,NDUFC1,grey90,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
C1orf163,0.013012766,0.421607579,0.791967755,0.27004961,C1orf163,grey90,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
GPR137,0.013203244,0.42081137,0.665961729,0.057374979,GPR137,grey90,grey90,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
